COMM,SRC,DST,value
COA,XOE,XEA,3836.4180162132852
COA,XOE,USA,198.5443173616434
COA,XOE,RUS,13.562209655266745
COA,XOE,EUR,3887.821760353101
COA,XOE,XOE,21816.168204964564
COA,XOE,OPC,908.3089351636206
COA,XOE,SAS,9319.430594617632
COA,XOE,XLC,599.5639636577083
COA,XOE,ROW,1513.1304027698066
COA,OPC,CHN,28.176141523842052
COA,OPC,XEA,13.602844783477655
COA,OPC,USA,29.82168152955363
COA,OPC,RUS,1171.1722880669372
COA,OPC,EUR,512.7250741441591
COA,OPC,XOE,19.851405722819628
COA,OPC,OPC,24.516670368427672
COA,OPC,SAS,22.92445019383303
COA,OPC,XLC,11.524601718948173
COA,OPC,ROW,564.3557887259692
COA,SAS,CHN,3.4009391103173003
COA,SAS,XEA,0.17212675746038494
COA,SAS,USA,0.021164929652471232
COA,SAS,RUS,0.017318499460178008
COA,SAS,EUR,0.08038441342266393
COA,SAS,XOE,0.03042954755101819
COA,SAS,OPC,0.13357561238879373
COA,SAS,SAS,102.12132573648127
COA,SAS,XLC,0.007535130438673484
COA,SAS,ROW,0.36267451741472967
COA,XLC,CHN,165.9900614511135
COA,XLC,XEA,14.754033024823162
COA,XLC,USA,817.7376512538177
COA,XLC,RUS,5.331160619805891
COA,XLC,EUR,3877.5608240302163
COA,XLC,XOE,305.0180747583309
COA,XLC,OPC,419.32033784045865
COA,XLC,SAS,9.281508366354261
COA,XLC,XLC,920.1678723839806
COA,XLC,ROW,931.3452484874167
COA,ROW,CHN,1097.2164312090636
COA,ROW,XEA,464.3031691878639
COA,ROW,USA,12.09760050641704
COA,ROW,RUS,37.950834009791286
COA,ROW,EUR,2054.293972401323
COA,ROW,XOE,516.8769503839784
COA,ROW,OPC,256.70572284850823
COA,ROW,SAS,1719.4941244722984
COA,ROW,XLC,169.3008871688071
COA,ROW,ROW,1011.915298559521
OIL,CHN,XEA,505.6753099518358
OIL,CHN,USA,17.373939937566764
OIL,CHN,EUR,0.32932762132119386
OIL,CHN,XOE,49.666146859395006
OIL,CHN,OPC,1.5576402420982385
OIL,CHN,SAS,153.82210749065067
OIL,CHN,XLC,0.22920388992446594
OIL,CHN,ROW,0.3374153862698115
OIL,XEA,CHN,2457.3394769906477
OIL,XEA,XEA,6303.262796283777
OIL,XEA,USA,1255.5226869343705
OIL,XEA,RUS,0.20172778731102764
OIL,XEA,EUR,79.75621328890728
OIL,XEA,XOE,17482.822616860278
OIL,XEA,OPC,80.2954764462502
OIL,XEA,SAS,2586.943171393516
OIL,XEA,XLC,26.209098318161757
OIL,XEA,ROW,35.84958318196247
OIL,USA,CHN,0.18518867452218524
OIL,USA,XEA,1.8628492823570897
OIL,USA,EUR,3.7919226953548963
OIL,USA,XOE,339.60957431511366
OIL,USA,OPC,96.55867587319136
OIL,USA,SAS,71.02832403356571
OIL,USA,XLC,57.43263744920654
OIL,USA,ROW,98.8695907063721
OIL,RUS,CHN,15327.069779552532
OIL,RUS,XEA,2519.6721807320037
OIL,RUS,USA,8125.862510213511
OIL,RUS,EUR,99954.01783893531
OIL,RUS,XOE,11821.393643108902
OIL,RUS,OPC,59.79209793725493
OIL,RUS,SAS,165.7421971396463
OIL,RUS,XLC,646.497099119527
OIL,RUS,ROW,11207.946216473236
OIL,EUR,CHN,247.67640666394803
OIL,EUR,XEA,28.426517945266983
OIL,EUR,USA,4268.575231185122
OIL,EUR,RUS,0.015371534655367395
OIL,EUR,EUR,63267.195489604426
OIL,EUR,XOE,2227.543178699857
OIL,EUR,OPC,24.91533948552911
OIL,EUR,SAS,67.22323993951044
OIL,EUR,XLC,571.941027421527
OIL,EUR,ROW,616.7641309199662
OIL,XOE,CHN,1857.0013021557093
OIL,XOE,XEA,1942.2619029987773
OIL,XOE,USA,47862.78509000908
OIL,XOE,RUS,0.030023378515732703
OIL,XOE,EUR,49.5586657941978
