COMM,SRC,DST,value
OIL,OPC,EUR,165929.19758045976
OIL,OPC,XOE,215995.47742776992
OIL,OPC,OPC,11929.133977313924
OIL,OPC,SAS,128280.71475917286
OIL,OPC,XLC,11984.968182786833
OIL,OPC,ROW,53523.18191704229
OIL,SAS,CHN,12.110489012595137
OIL,SAS,XEA,9.113926400880402
OIL,SAS,USA,24.562587267515585
OIL,SAS,RUS,0.044394557584763114
OIL,SAS,EUR,34.17626686481328
OIL,SAS,XOE,14.363591604725732
OIL,SAS,OPC,10.82478217791071
OIL,SAS,SAS,10.875219369091026
OIL,SAS,XLC,6.589706038647744
OIL,SAS,ROW,15.004083671056982
OIL,XLC,CHN,2172.546150434879
OIL,XLC,XEA,50.0663258710247
OIL,XLC,USA,46986.26251089915
OIL,XLC,RUS,0.17963695942064248
OIL,XLC,EUR,4431.590711330653
OIL,XLC,XOE,545.8100078435697
OIL,XLC,OPC,33.34622157945482
OIL,XLC,SAS,1706.1657086928685
OIL,XLC,XLC,9643.943287675025
OIL,XLC,ROW,136.3976217405509
OIL,ROW,CHN,17816.589968239758
OIL,ROW,XEA,4904.412562969128
OIL,ROW,USA,14033.699370154582
OIL,ROW,RUS,5.607245463663086
OIL,ROW,EUR,31043.239551676466
OIL,ROW,XOE,5450.842671292644
OIL,ROW,OPC,893.2664344734923
OIL,ROW,SAS,6192.802806835635
OIL,ROW,XLC,1460.3796184577766
OIL,ROW,ROW,9933.753888061248
GAS,CHN,XEA,301.1022598159533
GAS,CHN,USA,19.646829107674318
GAS,CHN,RUS,103.07323940857265
GAS,CHN,EUR,113.47299902800687
GAS,CHN,XOE,47.499543214772885
GAS,CHN,OPC,123.01279287873243
GAS,CHN,SAS,0.667753722915518
GAS,CHN,XLC,3.0736621220762665
GAS,CHN,ROW,21.06915387187063
GAS,XEA,CHN,178.08019684704658
GAS,XEA,XEA,6862.244171247606
GAS,XEA,USA,107.15486151350355
GAS,XEA,RUS,267.68636929881455
GAS,XEA,EUR,1373.5398639600069
GAS,XEA,XOE,21134.062689556467
GAS,XEA,OPC,555.973007365035
GAS,XEA,SAS,55.80666191390845
GAS,XEA,XLC,140.0050051202328
GAS,XEA,ROW,248.55673447380397
GAS,USA,CHN,16.66769209745088
GAS,USA,XEA,328.106756698646
GAS,USA,RUS,102.28600463103741
GAS,USA,EUR,598.4200811428478
GAS,USA,XOE,2785.8763346505325
GAS,USA,OPC,437.0921567288775
GAS,USA,SAS,108.5619792678878
GAS,USA,XLC,2173.3793346713273
GAS,USA,ROW,102.2928352997256
GAS,RUS,CHN,126.23232716583259
GAS,RUS,XEA,577.5293051615587
GAS,RUS,USA,187.36548791562913
GAS,RUS,EUR,37663.529635860636
GAS,RUS,XOE,12713.988594147391
GAS,RUS,OPC,1522.4517137486137
GAS,RUS,SAS,20.99214178744483
GAS,RUS,XLC,58.67774330650986
GAS,RUS,ROW,24569.317906610027
GAS,EUR,CHN,2.696349619057727
GAS,EUR,XEA,287.39582387592594
GAS,EUR,USA,158.26769532839484
GAS,EUR,RUS,241.8091964058029
GAS,EUR,EUR,43939.060227098846
GAS,EUR,XOE,232.4062082982514
GAS,EUR,OPC,516.5417870073977
GAS,EUR,SAS,43.022908332014
GAS,EUR,XLC,64.46548358242282
GAS,EUR,ROW,316.3936242819616
GAS,XOE,CHN,113.35883489021424
GAS,XOE,XEA,564.2277934664926
GAS,XOE,USA,11720.45479348502
GAS,XOE,RUS,17.714991766153993
GAS,XOE,EUR,241.20090318293498
GAS,XOE,XOE,6781.8669426522565
GAS,XOE,OPC,169.30005238454373
GAS,XOE,SAS,20.445882707137063
GAS,XOE,XLC,61.8663238395813
GAS,XOE,ROW,81.35615948485871
GAS,OPC,CHN,565.3698207166402
GAS,OPC,XEA,3601.4191907065792
GAS,OPC,USA,3880.3019317362787
GAS,OPC,RUS,616.9215304270481
GAS,OPC,EUR,36253.54078087337
GAS,OPC,XOE,18898.236987729215
GAS,OPC,OPC,6096.216607221173
GAS,OPC,SAS,5308.0274950890425
GAS,OPC,XLC,2514.019354810038
GAS,OPC,ROW,14565.705167631178
GAS,SAS,CHN,0.7118522698087288
GAS,SAS,XEA,50.98813962808978
GAS,SAS,USA,13.984344077817857
GAS,SAS,RUS,32.99162337821593
GAS,SAS,EUR,194.0181655316036
GAS,SAS,XOE,21.969803077411296
GAS,SAS,OPC,64.04318853847046
GAS,SAS,SAS,1.5649917634535853
GAS,SAS,XLC,3.9526601588553794
GAS,SAS,ROW,50.02140361456216
GAS,XLC,CHN,72.54504143117971
GAS,XLC,XEA,309.8895956829187
GAS,XLC,USA,1241.3414605285843
GAS,XLC,RUS,54.65098699675677
GAS,XLC,EUR,1760.064931244404
GAS,XLC,XOE,1353.1915275912058
GAS,XLC,OPC,826.4236164668495
GAS,XLC,SAS,186.53892822153065
GAS,XLC,XLC,1511.160540083528
GAS,XLC,ROW,267.40717511829183
GAS,ROW,CHN,8268.35456709042
GAS,ROW,XEA,903.9460430274383
GAS,ROW,USA,345.26818589237666
GAS,ROW,RUS,336.11491663394156
GAS,ROW,EUR,3939.829939127399
GAS,ROW,XOE,1077.9739581310312
GAS,ROW,OPC,2757.263236496397
GAS,ROW,SAS,213.98572914830902
GAS,ROW,XLC,170.61781316019628
GAS,ROW,ROW,6167.390632972471
P_C,CHN,XEA,20675.70846071994
P_C,CHN,USA,1198.812888828478
P_C,CHN,RUS,1083.6018533004722
P_C,CHN,EUR,3188.2984843299996
P_C,CHN,XOE,5768.023049566871
P_C,CHN,OPC,2832.787647633881
P_C,CHN,SAS,2756.3303136228733
P_C,CHN,XLC,649.7297796225614
P_C,CHN,ROW,2271.033444899903
P_C,XEA,CHN,6833.64792305661
P_C,XEA,XEA,45413.629315947976
P_C,XEA,USA,1645.4572744557524
P_C,XEA,RUS,96.59227904159711
P_C,XEA,EUR,3238.70636448781
P_C,XEA,XOE,11857.59868378964
P_C,XEA,OPC,831.3886250727202
P_C,XEA,SAS,3589.0503278857404
P_C,XEA,XLC,379.99514776213414
P_C,XEA,ROW,1004.9799229331442
P_C,USA,CHN,2117.12102392609
P_C,USA,XEA,2448.2911757980464
P_C,USA,RUS,259.268438381631
P_C,USA,EUR,36647.91747932328
P_C,USA,XOE,17262.38148050957
P_C,USA,OPC,16976.532935515148
P_C,USA,SAS,900.1559930887804
P_C,USA,XLC,49363.43746199758
P_C,USA,ROW,10773.170279411923
P_C,RUS,CHN,4491.8401060646565
P_C,RUS,XEA,1393.2214742198717
P_C,RUS,USA,14267.381264480531
P_C,RUS,EUR,50650.545343831145
P_C,RUS,XOE,1894.298806008875
P_C,RUS,OPC,2458.276140143219
P_C,RUS,SAS,237.17220879875035
P_C,RUS,XLC,477.9124815239273
P_C,RUS,ROW,8404.719805515297
P_C,EUR,CHN,786.4126669872912
P_C,EUR,XEA,1474.8404504492105
P_C,EUR,USA,17789.98412261711
P_C,EUR,RUS,1636.3386242396466
P_C,EUR,EUR,134204.7201043808
P_C,EUR,XOE,2737.418018447549
P_C,EUR,OPC,11877.458966888093
P_C,EUR,SAS,515.2188693713575
P_C,EUR,XLC,2683.974130020215
P_C,EUR,ROW,20859.777211785306
P_C,XOE,CHN,15325.753340068508
P_C,XOE,XEA,16000.194355285601
P_C,XOE,USA,16884.422616606633
P_C,XOE,RUS,322.5249979799326
P_C,XOE,EUR,5131.825892262025
P_C,XOE,XOE,17036.804363174266
P_C,XOE,OPC,1676.0872985925198
P_C,XOE,SAS,1513.9107269475487
P_C,XOE,XLC,2100.436758425751
P_C,XOE,ROW,1391.604481121291
P_C,OPC,CHN,14020.09682209878
P_C,OPC,XEA,21954.922488653465
P_C,OPC,USA,17477.034964831262
P_C,OPC,RUS,110.62446313487786
P_C,OPC,EUR,28793.118534022127
P_C,OPC,XOE,36067.425584960285
P_C,OPC,OPC,16524.93081161337
P_C,OPC,SAS,17178.907710954427
P_C,OPC,XLC,7479.693256770939
P_C,OPC,ROW,20196.250307934697
P_C,SAS,CHN,201.35386465497044
P_C,SAS,XEA,5618.164013555867
P_C,SAS,USA,4704.502493295171
P_C,SAS,RUS,35.18857831989236
P_C,SAS,EUR,12785.951062203962
P_C,SAS,XOE,5274.4290226838775
P_C,SAS,OPC,10616.79388849186
P_C,SAS,SAS,3508.835603560307
P_C,SAS,XLC,1165.2188585892868
P_C,SAS,ROW,12693.832504737298
P_C,XLC,CHN,143.52599719044565
P_C,XLC,XEA,540.3079614395045
P_C,XLC,USA,14340.542973755712
P_C,XLC,RUS,30.565840599511795
P_C,XLC,EUR,2279.089553665467
P_C,XLC,XOE,814.8039272348614
P_C,XLC,OPC,2926.2424784443647
P_C,XLC,SAS,110.78953035149297
P_C,XLC,XLC,6672.526680260089
P_C,XLC,ROW,1380.9495055165776
P_C,ROW,CHN,226.14220399651845
P_C,ROW,XEA,808.7581726143666
P_C,ROW,USA,1553.9699786798722
P_C,ROW,RUS,2835.138090266803
P_C,ROW,EUR,17014.354208024677
P_C,ROW,XOE,583.651475744043
P_C,ROW,OPC,4601.05491849687
P_C,ROW,SAS,578.5412135125431
P_C,ROW,XLC,241.20049001751227
P_C,ROW,ROW,15343.27699732912
AGR,CHN,XEA,6080.7198435386335
AGR,CHN,USA,1337.7730840259867
AGR,CHN,RUS,847.9603226616475
AGR,CHN,EUR,2879.6706050985777
AGR,CHN,XOE,3598.9373886991652
AGR,CHN,OPC,1215.401996081492
AGR,CHN,SAS,899.0183507934786
AGR,CHN,XLC,328.2892691093023
AGR,CHN,ROW,952.2910465604563
AGR,XEA,CHN,4595.816598918372
AGR,XEA,XEA,5362.623105224135
AGR,XEA,USA,2514.7432131921078
AGR,XEA,RUS,358.44124362560564
AGR,XEA,EUR,3905.3241323211532
AGR,XEA,XOE,3775.732138078342
AGR,XEA,OPC,922.7166019503331
AGR,XEA,SAS,1440.0211047454081
AGR,XEA,XLC,163.47248907553498
AGR,XEA,ROW,532.9434373238915
AGR,USA,CHN,21594.576732324
AGR,USA,XEA,11079.419173872526
AGR,USA,RUS,508.95855581974416
AGR,USA,EUR,6473.126440000438
