Sim,Reg,RLab,CLab,Year,Value
COMP,ROW,itax,agr-a,1,-1827.3270967546139
COMP,ROW,vtax,agr-a,1,9526.270044401965
COMP,ROW,agr-a,agr,1,4.582550473844408e6
COMP,ROW,agr-a,man,1,0.0
COMP,ROW,agr-a,srv,1,0.0
COMP,ROW,agr,man-a,1,2.184420310718481e6
COMP,ROW,man,man-a,1,2.0822422181038003e7
COMP,ROW,srv,man-a,1,6.668244882482374e6
COMP,ROW,LAB,man-a,1,4.602013719708995e6
COMP,ROW,CAP,man-a,1,7.127627281586247e6
COMP,ROW,itax,man-a,1,140431.91883649584
COMP,ROW,vtax,man-a,1,531242.6963687368
COMP,ROW,man-a,agr,1,0.0
COMP,ROW,man-a,man,1,4.207640299171574e7
COMP,ROW,man-a,srv,1,0.0
COMP,ROW,agr,srv-a,1,293487.01865636033
COMP,ROW,man,srv-a,1,8.857026024111945e6
COMP,ROW,srv,srv-a,1,1.3819681211273853e7
COMP,ROW,LAB,srv-a,1,1.4626887165281609e7
COMP,ROW,CAP,srv-a,1,1.274745478418107e7
COMP,ROW,itax,srv-a,1,273529.0597730913
COMP,ROW,vtax,srv-a,1,1.9265727451220222e6
COMP,ROW,srv-a,agr,1,0.0
COMP,ROW,srv-a,man,1,0.0
COMP,ROW,srv-a,srv,1,5.254463800942276e7
COMP,ROW,ptax,agr,1,-16796.90441200336
COMP,ROW,ptax,man,1,478646.6635665449
COMP,ROW,ptax,srv,1,470434.34683320933
COMP,ROW,USA,agr,1,110980.88578944406
COMP,ROW,E27,agr,1,46408.833411218475
COMP,ROW,ROW,agr,1,269625.3697504632
COMP,ROW,mtax,agr,1,46252.693506074385
COMP,ROW,agr,USA,1,46049.11774592905
COMP,ROW,agr,E27,1,70223.18739852977
COMP,ROW,agr,ROW,1,237442.6282648034
COMP,ROW,etax,agr,1,-132.32238369880807
COMP,ROW,USA,man,1,1.373702550547055e6
COMP,ROW,E27,man,1,2.1249249702886785e6
COMP,ROW,ROW,man,1,7.557530397864818e6
COMP,ROW,mtax,man,1,451826.23617146886
COMP,ROW,man,USA,1,2.2052721119148466e6
COMP,ROW,man,E27,1,2.261994538510712e6
COMP,ROW,man,ROW,1,7.128635660323538e6
COMP,ROW,etax,man,1,295878.1688468262
COMP,ROW,USA,srv,1,337716.7916328385
COMP,ROW,E27,srv,1,667650.6533712765
COMP,ROW,ROW,srv,1,979165.3029947294
COMP,ROW,mtax,srv,1,33.21882088471009
COMP,ROW,srv,USA,1,327296.2131711647
COMP,ROW,srv,E27,1,647243.4674301336
COMP,ROW,srv,ROW,1,979165.3029894832
COMP,ROW,etax,srv,1,0.0
COMP,ROW,USA,BoP,1,2.5786174428319405e6
COMP,ROW,E27,BoP,1,2.979461193339376e6
COMP,ROW,ROW,BoP,1,8.345243591577825e6
COMP,ROW,BoP,USA,1,1.8224002279693377e6
COMP,ROW,BoP,E27,1,2.838984457071173e6
COMP,ROW,BoP,ROW,1,8.806321070610011e6
COMP,ROW,RegY,LAB,1,1.83627867349687e7
COMP,ROW,dtax,LAB,1,2.2259626599634876e6
COMP,ROW,RegY,CAP,1,1.9966971167712007e7
COMP,ROW,dtax,CAP,1,1.3849829730946391e6
COMP,ROW,hhd,RegY,1,2.679003880508542e7
COMP,ROW,inv,RegY,1,7.620448897965522e6
COMP,ROW,gov,RegY,1,8.00489004071185e6
COMP,ROW,deprY,RegY,1,6.472106979025165e6
COMP,ROW,inv,deprY,1,6.472106979025165e6
COMP,ROW,agr,hhd,1,1.5397621107374446e6
COMP,ROW,agr,gov,1,7611.483092223617
COMP,ROW,agr,inv,1,132005.56419735902
COMP,ROW,man,hhd,1,7.947008019618567e6
COMP,ROW,man,gov,1,144556.77998684274
COMP,ROW,man,inv,1,4.273293121386723e6
COMP,ROW,srv,hhd,1,1.5562926191739146e7
COMP,ROW,srv,gov,1,7.817713641098414e6
COMP,ROW,srv,inv,1,8.152035029181753e6
COMP,ROW,itax,hhd,1,1.740342482647277e6
COMP,ROW,itax,gov,1,35008.13648032097
COMP,ROW,itax,inv,1,565813.1031672406
COMP,ROW,agr,tmg,1,0.0
COMP,ROW,man,tmg,1,0.0
