variable,value
"qva[SOL-a,XLC]",1.5003598879473397
"qva[WND-a,XLC]",1.0090631447169176
"qva[XEL-a,XLC]",1.001751225431231
"qva[SRV-a,XLC]",1.0000000300177416
"qva[AGR-a,ROW]",1.0000000600889727
"qva[FRS-a,ROW]",0.9999999241745261
"qva[COA-a,ROW]",1.0000000003787939
"qva[OIL-a,ROW]",1.0000000027031901
"qva[GAS-a,ROW]",1.000000003188996
"qva[OXT-a,ROW]",1.0000001497243531
"qva[EIT-a,ROW]",1.000000015738013
"qva[XMN-a,ROW]",0.9999988238513275
"qva[P_C-a,ROW]",0.9999892985241967
"qva[ETD-a,ROW]",0.9994236934757385
"qva[CLP-a,ROW]",1.0000041119826815
"qva[OLP-a,ROW]",1.0039475628805146
"qva[GSP-a,ROW]",1.0000010901293443
"qva[NUC-a,ROW]",1.0021071506644539
"qva[HYD-a,ROW]",1.0079397792213198
"qva[SOL-a,ROW]",0.5962692395006643
"qva[WND-a,ROW]",0.9728452215144253
"qva[XEL-a,ROW]",0.7689280035357077
"qva[SRV-a,ROW]",1.000000956699314
"po[AGR-a,CHN]",1.0000000124524038
"po[FRS-a,CHN]",0.9999999982628828
"po[COA-a,CHN]",1.0000000017350947
"po[OIL-a,CHN]",1.000000001551826
"po[GAS-a,CHN]",0.9999999947554086
"po[OXT-a,CHN]",1.0000000003800504
"po[EIT-a,CHN]",1.000000001673789
"po[XMN-a,CHN]",1.000000001962413
"po[P_C-a,CHN]",1.0000000013114574
"po[ETD-a,CHN]",1.0000000012096262
"po[CLP-a,CHN]",1.0000000012096262
"po[OLP-a,CHN]",1.0000000012096262
"po[GSP-a,CHN]",1.0000000012096262
"po[NUC-a,CHN]",1.0000000012096262
"po[HYD-a,CHN]",1.0000000012096262
"po[SOL-a,CHN]",1.0000000012096262
"po[WND-a,CHN]",1.0000000012096262
"po[XEL-a,CHN]",1.0000000012096262
"po[SRV-a,CHN]",1.0000000013475807
"po[AGR-a,XEA]",0.9999998815295967
"po[FRS-a,XEA]",0.9999999906278371
"po[COA-a,XEA]",0.9999999961569623
"po[OIL-a,XEA]",0.9999999868407375
"po[GAS-a,XEA]",0.9999999969248109
"po[OXT-a,XEA]",1.0000000102230018
"po[EIT-a,XEA]",0.9999999966548528
"po[XMN-a,XEA]",0.999999987762263
"po[P_C-a,XEA]",0.9999999969166475
"po[ETD-a,XEA]",0.9999999976940147
"po[CLP-a,XEA]",0.9999999976940147
"po[OLP-a,XEA]",0.9999999976940147
